question,answer
"آیا امکان بازگشت کالا وجود دارد؟","بله، امکان بازگشت کالا تا ۷ روز پس از تحویل وجود دارد. کالا باید در وضعیت اولیه و بدون استفاده باشد."
"هزینه ارسال چقدر است؟","هزینه ارسال برای خریدهای بالای ۵۰۰ هزار تومان رایگان است. برای خریدهای کمتر از این مقدار، هزینه ارسال بر اساس وزن و مقصد محاسبه می‌شود."
"چگونه می‌توانم سفارش خود را پیگیری کنم؟","شما می‌توانید از طریق وبسایت ما با وارد کردن شماره سفارش خود، وضعیت سفارش را پیگیری کنید."
"سایز مناسب خود را چگونه پیدا کنم؟","در هر صفحه محصول، جدول سایزبندی وجود دارد. شما می‌توانید با اندازه‌گیری دقیق و مقایسه با جدول سایزبندی، سایز مناسب خود را انتخاب کنید."
"آیا محصولات شما اصل هستند؟","بله، تمام محصولات ما اصل و از برندهای معتبر خریداری شده‌اند."
"زمان تحویل سفارش چقدر است؟","زمان تحویل سفارشات معمولاً بین ۳ تا ۵ روز کاری است، بسته به مقصد تحویل."
"آیا امکان پرداخت درب منزل وجود دارد؟","بله، امکان پرداخت درب منزل برای ساکنین شهرهای بزرگ فراهم است."
"چگونه می‌توانم سفارش خود را لغو کنم؟","برای لغو سفارش، لطفاً با بخش پشتیبانی ما تماس بگیرید یا از طریق پنل کاربری خود درخواست لغو را ثبت کنید."
"آیا تخفیف ویژه‌ای برای خریدهای بزرگتر وجود دارد؟","بله، برای خریدهای بالای یک میلیون تومان تخفیف ویژه‌ای در نظر گرفته شده است. لطفاً با پشتیبانی تماس بگیرید."
"آیا محصولات شما گارانتی دارند؟","بله، برخی از محصولات ما دارای گارانتی رسمی برند هستند. مشخصات گارانتی در صفحه محصول ذکر شده است."
